date,time,6908
03/11/2022,02:17:30,66
03/11/2022,02:18:00,67
03/11/2022,02:18:30,63
03/11/2022,02:19:00,67
03/11/2022,02:19:30,-1
03/11/2022,02:20:00,67
03/11/2022,02:20:30,53
03/11/2022,02:21:00,75
03/11/2022,02:21:30,76
03/11/2022,02:22:00,54
03/11/2022,02:22:30,-1
03/11/2022,02:23:00,50
03/11/2022,02:23:30,64
03/11/2022,02:24:00,70
03/11/2022,02:24:30,64
03/11/2022,02:25:00,-1
03/11/2022,02:25:30,-1
03/11/2022,02:26:00,-1
03/11/2022,02:26:30,67
03/11/2022,02:27:00,64
03/11/2022,02:27:30,-1
03/11/2022,02:28:00,65
03/11/2022,02:28:30,70
03/11/2022,02:29:00,64
03/11/2022,02:29:30,61
03/11/2022,02:30:00,69
03/11/2022,02:30:30,-1
03/11/2022,02:31:00,68
03/11/2022,02:31:30,57
03/11/2022,02:32:00,77
03/11/2022,02:32:30,71
03/11/2022,02:33:00,55
03/11/2022,02:33:30,68
03/11/2022,02:34:00,61
03/11/2022,02:34:30,-1
03/11/2022,02:35:00,61
03/11/2022,02:35:30,68
03/11/2022,02:36:00,65
03/11/2022,02:36:30,65
03/11/2022,02:37:00,-1
03/11/2022,02:37:30,59
03/11/2022,02:38:00,-1
03/11/2022,02:38:30,63
03/11/2022,02:39:00,73
03/11/2022,02:39:30,67
03/11/2022,02:40:00,56
03/11/2022,02:40:30,64
03/11/2022,02:41:00,52
03/11/2022,02:41:30,63
03/11/2022,02:42:00,53
03/11/2022,02:42:30,59
03/11/2022,02:43:00,65
03/11/2022,02:43:30,-1
03/11/2022,02:44:00,61
03/11/2022,02:44:30,68
03/11/2022,02:45:00,-1
03/11/2022,02:45:30,68
03/11/2022,02:46:00,-1
03/11/2022,02:46:30,-1
03/11/2022,02:47:00,-1
03/11/2022,02:47:30,-1
03/11/2022,02:48:00,-1
03/11/2022,02:48:30,-1
03/11/2022,02:49:00,-1
03/11/2022,02:49:30,-1
03/11/2022,02:50:00,-1
03/11/2022,02:50:30,-1
03/11/2022,02:51:00,-1
03/11/2022,02:51:30,-1
03/11/2022,02:52:00,59
03/11/2022,02:52:30,-1
03/11/2022,02:53:00,-1
03/11/2022,02:53:30,-1
03/11/2022,02:54:00,-1
03/11/2022,02:54:30,-1
03/11/2022,02:55:00,-1
03/11/2022,02:55:30,-1
03/11/2022,02:56:00,-1
03/11/2022,02:56:30,67
03/11/2022,02:57:00,63
03/11/2022,02:57:30,60
03/11/2022,02:58:00,72
03/11/2022,02:58:30,-1
03/11/2022,02:59:00,-1
03/11/2022,02:59:30,65
03/11/2022,03:00:00,-1
03/11/2022,03:00:30,66
03/11/2022,03:01:00,65
03/11/2022,03:01:30,-1
03/11/2022,03:02:00,-1
03/11/2022,03:02:30,66
03/11/2022,03:03:00,-1
03/11/2022,03:03:30,-1
03/11/2022,03:04:00,65
03/11/2022,03:04:30,-1
03/11/2022,03:05:00,65
03/11/2022,03:05:30,-1
03/11/2022,03:06:00,65
03/11/2022,03:06:30,61
03/11/2022,03:07:00,-1
03/11/2022,03:07:30,76
03/11/2022,03:08:00,74
03/11/2022,03:08:30,58
03/11/2022,03:09:00,64
03/11/2022,03:09:30,53
03/11/2022,03:10:00,59
03/11/2022,03:10:30,-1
03/11/2022,03:11:00,68
03/11/2022,03:11:30,-1
03/11/2022,03:12:00,62
03/11/2022,03:12:30,-1
03/11/2022,03:13:00,63
03/11/2022,03:13:30,61
03/11/2022,03:14:00,-1
03/11/2022,03:14:30,-1
03/11/2022,03:15:00,64
03/11/2022,03:15:30,-1
03/11/2022,03:16:00,67
03/11/2022,03:16:30,-1
03/11/2022,03:17:00,67
03/11/2022,03:17:30,-1
03/11/2022,03:18:00,-1
03/11/2022,03:18:30,-1
03/11/2022,03:19:00,-1
03/11/2022,03:19:30,-1
03/11/2022,03:20:00,-1
03/11/2022,03:20:30,68
03/11/2022,03:21:00,72
03/11/2022,03:21:30,65
03/11/2022,03:22:00,-1
03/11/2022,03:22:30,-1
03/11/2022,03:23:00,-1
03/11/2022,03:23:30,86
03/11/2022,03:24:00,-1
03/11/2022,03:24:30,-1
03/11/2022,03:25:00,-1
03/11/2022,03:25:30,62
03/11/2022,03:26:00,-1
03/11/2022,03:26:30,70
03/11/2022,03:27:00,63
03/11/2022,03:27:30,72
03/11/2022,03:28:00,-1
03/11/2022,03:28:30,-1
03/11/2022,03:29:00,69
03/11/2022,03:29:30,-1
03/11/2022,03:30:00,64
03/11/2022,03:30:30,60
03/11/2022,03:31:00,62
03/11/2022,03:31:30,68
03/11/2022,03:32:00,66
03/11/2022,03:32:30,58
03/11/2022,03:33:00,-1
03/11/2022,03:33:30,-1
03/11/2022,03:34:00,66
03/11/2022,03:34:30,-1
03/11/2022,03:35:00,-1
03/11/2022,03:35:30,-1
03/11/2022,03:36:00,-1
03/11/2022,03:36:30,62
03/11/2022,03:37:00,67
03/11/2022,03:37:30,72
03/11/2022,03:38:00,59
03/11/2022,03:38:30,-1
03/11/2022,03:39:00,-1
03/11/2022,03:39:30,63
03/11/2022,03:40:00,-1
03/11/2022,03:40:30,61
03/11/2022,03:41:00,63
03/11/2022,03:41:30,54
03/11/2022,03:42:00,-1
03/11/2022,03:42:30,67
03/11/2022,03:43:00,67
03/11/2022,03:43:30,-1
03/11/2022,03:44:00,68
03/11/2022,03:44:30,64
03/11/2022,03:45:00,-1
03/11/2022,03:45:30,69
03/11/2022,03:46:00,-1
03/11/2022,03:46:30,53
03/11/2022,03:47:00,-1
03/11/2022,03:47:30,65
03/11/2022,03:48:00,-1
03/11/2022,03:48:30,69
03/11/2022,03:49:00,-1
03/11/2022,03:49:30,69
03/11/2022,03:50:00,-1
03/11/2022,03:50:30,-1
03/11/2022,03:51:00,66
03/11/2022,03:51:30,55
03/11/2022,03:52:00,-1
03/11/2022,03:52:30,-1
03/11/2022,03:53:00,75
03/11/2022,03:53:30,-1
03/11/2022,03:54:00,-1
03/11/2022,03:54:30,60
03/11/2022,03:55:00,73
03/11/2022,03:55:30,-1
03/11/2022,03:56:00,-1
03/11/2022,03:56:30,-1
03/11/2022,03:57:00,-1
03/11/2022,03:57:30,70
03/11/2022,03:58:00,-1
03/11/2022,03:58:30,62
03/11/2022,03:59:00,69
03/11/2022,03:59:30,-1
03/11/2022,04:00:00,72
03/11/2022,04:00:30,58
03/11/2022,04:01:00,-1
03/11/2022,04:01:30,62
03/11/2022,04:02:00,-1
03/11/2022,04:02:30,68
03/11/2022,04:03:00,71
03/11/2022,04:03:30,69
03/11/2022,04:04:00,64
03/11/2022,04:04:30,-1
03/11/2022,04:05:00,70
03/11/2022,04:05:30,65
